id_chap;Titre;Descriptif
1;Inventaire et contr“le des biens mat‚riels;G‚rer activement (inventorier, suivre et corriger) tous les dispositifs mat‚riels sur le r‚seau afin que seuls les dispositifs autoris‚s y aient accŠs, et que les dispositifs non autoris‚s et non g‚r‚s soient trouv‚s et empˆch‚s d?y acc‚der.
2;Inventaire et contr“le des actifs logiciels;G‚rer activement (inventorier, suivre et corriger) tous les logiciels sur le r‚seau afin que seuls les logiciels autoris‚s soient install‚s et puissent ˆtre ex‚cut‚s, et que tous les logiciels non autoris‚s et non g‚r‚s soient trouv‚s et empˆch‚s d?ˆtre install‚s ou ex‚cut‚s.
3;Gestion continue des vuln‚rabilit‚s;Acqu‚rir, ‚valuer et prendre des mesures continues … l?‚gard de nouveaux renseignements afin d'identifier les vuln‚rabilit‚s, de corriger et de r‚duire au minimum les occasions pour les attaquants.
4;Utilisation contr“l‚e des privilŠges administratifs;"Les processus et outils utilis‚s pour suivre, contr“ler, pr‚venir ou corriger l?utilisation, l?affectation et 
la configuration des privilŠges administratifs sur les ordinateurs, les r‚seaux et les applications."
5;Configuration s‚curis‚e du mat‚riel et des logiciels sur les appareils mobiles, les ordinateurs portables, les postes de travail et les serveurs;tablir, mettre en ?uvre et g‚rer activement (suivre, signaler, corriger) la configuration de s‚curit‚ des appareils mobiles, ordinateurs portables, serveurs et postes de travail utilisant un processus rigoureux de gestion de la configuration et de contr“le des changements afin d?empˆcher les attaquants d?exploiter les services et les paramŠtres vuln‚rables. 
6;Maintenance, surveillance et analyse des registres de v‚rification;Collecter, g‚rer et analyser les journaux d?audit d?‚v‚nements qui pourraient aider … d‚tecter, comprendre ou r‚cup‚rer d?une attaque. 
7;Protection des courriels et des navigateurs Web;Minimiser la surface d?attaque et les possibilit‚s pour les attaquants de manipuler le comportement humain par leur interaction avec les navigateurs Web et les systŠmes de courriel.
8;D‚fenses contre les logiciels malveillants;Contr“ler l?installation, la diffusion et l?ex‚cution du code malveillant en plusieurs points de l?entreprise, tout en optimisant l?utilisation de l?automatisation pour permettre une mise … jour rapide de la d‚fense, la collecte de donn‚es et les mesures correctives.
9;Limitation et contr“le des ports, protocoles et services r‚seau;G‚rer (suivre/contr“ler/corriger) l?utilisation op‚rationnelle continue des ports, protocoles et services sur les p‚riph‚riques en r‚seau afin de minimiser les fenˆtres de vuln‚rabilit‚ disponibles pour les attaquants
10;Capacit‚s de r‚cup‚ration de donn‚es;Les processus et les outils utilis‚s pour sauvegarder correctement l?information critique avec une m‚thodologie ‚prouv‚e pour la r‚cup‚ration en temps opportun.
11;Configuration s‚curis‚e des dispositifs r‚seau, tels que les pare-feu, les routeurs et les commutateurs;tablir, mettre en ?uvre et g‚rer activement (suivre, signaler, corriger) la configuration de s‚curit‚ des dispositifs d?infrastructure r‚seau au moyen d?un processus rigoureux de gestion de la configuration et de contr“le des changements afin d?empˆcher les attaquants d?exploiter les services et les paramŠtres vuln‚rables.
12;Boundary Defense;D‚tecter/pr‚venir/corriger le flux d?informations transf‚r‚ … travers des r‚seaux de diff‚rents niveaux de confiance en mettant l?accent sur les donn‚es dangereuses pour la s‚curit‚.
13;Protection des donn‚es;Les processus et les outils utilis‚s pour pr‚venir l?exfiltration des donn‚es, att‚nuer les effets des donn‚es exfiltr‚es et assurer la confidentialit‚ et l?int‚grit‚ des renseignements sensibles.
14;AccŠs contr“l‚ fond‚ sur le besoin de savoir;Les processus et les outils utilis‚s pour suivre, contr“ler, pr‚venir et corriger l?accŠs s‚curis‚ aux biens essentiels (p. ex., information, ressources, systŠmes) en fonction de la d‚termination officielle des personnes, les ordinateurs et les applications ont le besoin et le droit d?acc‚der … ces biens essentiels en fonction d?une classification approuv‚e.
15;Contr“le d'accŠs sans fil;Processus et outils utilis‚s pour suivre/contr“ler/pr‚venir/corriger l?utilisation s‚curis‚e des r‚seaux locaux sans fil (WLAN), des points d?accŠs et des systŠmes clients sans fil.
16;Surveillance et contr“le des comptes;G‚rer activement le cycle de vie des comptes de systŠme et d?application ? leur cr‚ation, leur utilisation, leur dormance, leur suppression ? afin de minimiser les occasions pour les attaquants de les exploiter.
17;Mettre en ?uvre un programme de sensibilisation et de formation … la s‚curit‚;"Pour tous les r“les fonctionnels de l?organisation (prioriser ceux qui sont essentiels … la mission de l?entreprise et … sa s‚curit‚), d‚terminer les connaissances, les comp‚tences et les aptitudes particuliŠres n‚cessaires pour appuyer la d‚fense de l?entreprise; ‚laborer et ex‚cuter un plan int‚gr‚ pour ‚valuer, cerner les lacunes et y rem‚dier grƒce … des programmes de politiques, de planification organisationnelle, de formation et de sensibilisation."
18;S‚curit‚ des logiciels d?application;G‚rer le cycle de vie de tous les logiciels d‚velopp‚s et acquis … l?interne afin de pr‚venir, de d‚tecter et de corriger les faiblesses en matiŠre de s‚curit‚.
19;Intervention et gestion des incidents;Prot‚ger l?information de l?organisation, ainsi que sa r‚putation, en ‚laborant et en mettant en ?uvre une infrastructure d?intervention en cas d?incident (p. ex., plans, r“les d‚finis, formation, communications, surveillance de la gestion) pour d‚couvrir rapidement une attaque et ensuite contenir efficacement les d‚gƒts, ‚radiquer la pr‚sence de l?attaquant, et restaurer l?int‚grit‚ du r‚seau et des systŠmes
20;Tests de p‚n‚tration et exercices de Red Team;Testez la force globale de la d‚fense d?une organisation (la technologie, les processus et les personnes) en simulant les objectifs et les actions d?un attaquant.
;;
